Scheme Code	Scheme Name	Asset Value	Date	ISIN Growth	ISIN Reinvestment
150505	Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.2580	25-Aug-2025	INF760K01KC4	-
150507	Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.7994	25-Aug-2025	INF760K01KE0	INF760K01KD2
150503	Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.1477	25-Aug-2025	INF760K01KF7	-
150504	Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7164	25-Aug-2025	INF760K01KH3	INF760K01KG5
124175	DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.0631	25-Aug-2025	INF740K01ZW2	-
124178	DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5695	25-Aug-2025	INF740K01A18	INF740K01A26
124182	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1366	25-Aug-2025	-	INF740KA1OF7
124176	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3539	25-Aug-2025	INF740K01ZX0	INF740K01ZY8
124177	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4091	25-Aug-2025	INF740K01ZZ5	INF740K01A00
124183	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1485	25-Aug-2025	INF740KA1OG5	INF740KA1OH3
124172	DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.195	25-Aug-2025	INF740K01ZP6	-
124174	DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5562	25-Aug-2025	INF740K01ZU6	INF740K01ZV4
124173	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1351	25-Aug-2025	-	INF740KA1OI1
124180	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3413	25-Aug-2025	INF740K01ZQ4	INF740K01ZR2
124181	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.3992	25-Aug-2025	INF740K01ZS0	INF740K01ZT8
124179	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1462	25-Aug-2025	INF740KA1OJ9	INF740KA1OK7
140286	Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.7265	25-Aug-2025	INF843K01FC8	-
140288	Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7002	25-Aug-2025	INF843K01FD6	INF843K01FE4
140291	Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.4999	25-Aug-2025	INF843K01FG9	-
140293	Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.8893	25-Aug-2025	INF843K01FI5	INF843K01FH7
140290	Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.516	25-Aug-2025	INF843K01FF1	-
140283	Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.8163	25-Aug-2025	INF843K01FK1	-
140284	Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8462	25-Aug-2025	INF843K01FL9	INF843K01FM7
140294	Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0296	25-Aug-2025	INF843K01FO3	-
140292	Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.133	25-Aug-2025	INF843K01FQ8	INF843K01FP0
140289	Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1094	25-Aug-2025	INF843K01FN5	-
129008	Franklin India Banking & PSU Debt Fund - Direct - Growth	23.6545	25-Aug-2025	INF090I01KR8	-
129006	Franklin India Banking & PSU Debt Fund - Growth	22.6309	25-Aug-2025	INF090I01KO5	-
129009	Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.5423	25-Aug-2025	INF090I01KS6	INF090I01KT4
129007	Franklin India Banking and PSU Debt Fund - IDCW	10.9169	25-Aug-2025	INF090I01KP2	INF090I01KQ0
128628	HDFC Banking and PSU Debt Fund - Growth Option	23.1933	25-Aug-2025	INF179KA1JC4	-
128629	HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.1637	25-Aug-2025	INF179KA1IZ7	-
128627	HDFC Banking and PSU Debt Fund - IDCW Option	10.1923	25-Aug-2025	INF179KA1JD2	INF179KA1JE0
128626	HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0034	25-Aug-2025	INF179KA1JA8	INF179KA1JB6
151108	HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1706	25-Aug-2025	-	INF917K01HL7
151107	HSBC Banking and PSU Debt Fund - Direct Growth	25.7884	25-Aug-2025	INF917K01HH5	-
151106	HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3644	25-Aug-2025	INF917K01HJ1	INF917K01HI3
151109	HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3267	25-Aug-2025	-	INF917K01HK9
151102	HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.094	25-Aug-2025	-	INF677K01AF4
151104	HSBC Banking and PSU Debt Fund - Regular Growth	24.4729	25-Aug-2025	INF677K01AE7	-
151105	HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6267	25-Aug-2025	INF677K01AI8	INF677K01AJ6
151103	HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.2978	25-Aug-2025	-	INF917K01HM5
112343	ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549	16-Sep-2022	INF109K01WS5	INF109K01RV9
112344	ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427	16-Sep-2022	INF109K01WR7	INF109K01RU1
130897	ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889	24-Apr-2020	INF109KA1B57	-
120257	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538	16-Sep-2022	INF109K01Z89	INF109K01Z97
120256	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.4029	25-Aug-2025	INF109K010A6	-
120258	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9887	25-Aug-2025	INF109K011A4	INF109K012A2
120255	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708	16-Sep-2022	INF109K013A0	INF109K014A8
130950	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665	10-Apr-2018	INF109KA1B40	-
131148	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098	16-Sep-2022	INF109KA1M96	INF109KA1M88
112342	ICICI Prudential Banking and PSU Debt Fund - Growth	32.9868	25-Aug-2025	INF109K01RT3	-
116174	ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9921	25-Aug-2025	INF109K01YE1	INF109K01YD3
131147	ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261	16-Sep-2022	INF109KA1M70	INF109KA1M62
113247	ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122	24-Apr-2020	INF109K01WW7	INF109K01JM5
113242	ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631	24-Apr-2020	INF109K01II5	-
113243	ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305	20-Aug-2015	INF109K01WV9	INF109K01IJ3
118234	Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1048.3157	25-Aug-2025	-	INF205K01JX8
120444	Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2444.1813	25-Aug-2025	INF205K01KT4	-
120443	Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1061.6213	25-Aug-2025	-	INF205K01KS6
120445	Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1009.1228	25-Aug-2025	INF205K01KU2	INF205K01KV0
118232	Invesco India Banking and PSU Fund - Growth Option	2281.6488	25-Aug-2025	INF205K01JV2	-
118233	Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1059.7482	25-Aug-2025	INF205K01JW0	INF205K01JY6
148534	ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.4924	25-Aug-2025	INF00XX01861	-
148536	ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.4938	25-Aug-2025	INF00XX01879	INF00XX01887
148535	ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.1373	25-Aug-2025	INF00XX01838	-
148533	ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.1384	25-Aug-2025	INF00XX01846	INF00XX01853
123690	Kotak Banking and PSU Debt - Growth	65.8692	25-Aug-2025	INF174K01FO3	-
123691	Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3753	25-Aug-2025	INF174K01FQ8	INF174K01FP0
123689	Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427	15-Sep-2017	INF174K01KI5	INF174K01KJ3
123693	Kotak Banking and PSU Debt Direct - Growth	68.6665	25-Aug-2025	INF174K01KH7	-
123692	Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.25	25-Aug-2025	INF174K01KK1	INF174K01KL9
120337	LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2794	25-Aug-2025	INF767K01GJ2	INF767K01GM6
120338	LIC MF Banking & PSU Fund-Direct Plan-Growth	37.8784	25-Aug-2025	INF767K01GI4	-
120339	LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2655	25-Aug-2025	INF767K01GK0	INF767K01GN4
120336	LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0416	25-Aug-2025	INF767K01GL8	INF767K01GO2
105822	LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2599	25-Aug-2025	INF767K01519	INF767K01527
105823	LIC MF Banking & PSU Fund-Regular Plan-Growth	35.0953	25-Aug-2025	INF767K01535	-
105856	LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1349	25-Aug-2025	INF767K01543	INF767K01550
105857	LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3692	25-Aug-2025	INF767K01568	INF767K01576
148419	Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3502	25-Aug-2025	INF769K01FY9	-
148417	Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3453	25-Aug-2025	INF769K01FX1	INF769K01FZ6
148416	Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0496	25-Aug-2025	INF769K01FV5	-
148418	Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0507	25-Aug-2025	INF769K01FU7	INF769K01FW3
134555	NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.7208	25-Aug-2025	INF204KA1U79	INF204KA1U87
134553	NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3705	25-Aug-2025	INF204KA1U12	INF204KA1U20
134547	Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.7208	25-Aug-2025	INF204KA1U53	-
134550	NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7301	25-Aug-2025	INF204KA1V37	INF204KA1V45
134556	NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8764	25-Aug-2025	INF204KA1U95	INF204KA1V03
134554	NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3702	25-Aug-2025	INF204KA1V11	INF204KA1V29
134548	NIPPON INDIA BANKING and PSU FUND - IDCW Option	20.9182	25-Aug-2025	INF204KA1T72	INF204KA1T80
134549	NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6591	25-Aug-2025	INF204KA1U38	INF204KA1U46
134551	NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.8108	25-Aug-2025	INF204KA1T98	INF204KA1U04
134552	Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	21.7208	25-Aug-2025	INF204KA1U61	-
134546	Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452	02-Feb-2018	INF204KA1T64	-
134545	Nippon India Banking and PSU Fund- Growth Plan- Growth Option	20.9182	25-Aug-2025	INF204KA1T56	-
125502	SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1470.5192	25-Aug-2025	-	INF200K01V16
125503	SBI BANKING & PSU FUND - Direct Plan - Growth	3338.5035	25-Aug-2025	INF200K01V08	-
125505	SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1308.0138	25-Aug-2025	INF200K01V40	INF200K01V57
125504	SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1467.2526	25-Aug-2025	INF200K01V32	INF200K01V24
125498	SBI BANKING & PSU FUND - Regular Paln - Growth	3139.6835	25-Aug-2025	INF200K01U41	-
125499	SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1432.4104	25-Aug-2025	-	INF200K01U58
125501	SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1225.6506	25-Aug-2025	INF200K01U82	INF200K01U90
125500	SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1432.0679	25-Aug-2025	INF200K01U74	INF200K01U66
134363	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065	17-Mar-2017	INF903J017I5	-
134370	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008	17-Mar-2017	INF903J012J4	INF903J013J2
134369	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356	31-Mar-2016	INF903J019I1	INF903J014J0
134355	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319	17-Feb-2017	INF903J016I7	-
134358	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582	17-Mar-2017	-	INF903J010I0
134356	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493	17-Mar-2017	INF903J016H9	-
134359	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411	17-Mar-2017	INF903J018H5	INF903J012I6
134361	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681	16-Aug-2016	INF903J014I2	-
134362	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236	17-Mar-2017	INF903J019H3	INF903J013I4
134360	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418	17-Mar-2017	INF903J017H7	INF903J011I8
119629	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981	27-Jun-2025	INF903J01RI4	-
119627	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300	28-Jun-2024	-	INF903J01PC1
119625	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.0323	25-Aug-2025	INF903J01PA5	-
119626	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7605	25-Aug-2025	INF903J01PB3	INF903J01PE7
118326	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644	27-Jun-2025	INF903J01LY4	-
100782	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550	28-Jun-2024	-	INF903J01IP8
100784	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.4064	25-Aug-2025	INF903J01IN3	-
100793	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.8028	25-Aug-2025	INF903J01IO1	INF903J01IR4
100783	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035	28-Jun-2024	-	INF903J01IQ6
100781	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206	28-Jun-2024	INF903J01IK9	-
100780	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908	28-Jun-2024	INF903J01IL7	INF903J01IM5
148656	TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1309.2216	25-Aug-2025	INF0GCD01107	-
148655	TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1279.6696	25-Aug-2025	INF0GCD01016	-
148672	TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1148.3823	25-Aug-2025	INF0GCD01180	INF0GCD01172
148678	TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1305.1103	25-Aug-2025	-	INF0GCD01115
148681	TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1141.7659	25-Aug-2025	INF0GCD01149	INF0GCD01131
148670	TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1163.9963	25-Aug-2025	INF0GCD01164	INF0GCD01156
148675	TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.9735	25-Aug-2025	-	INF0GCD01123
148669	TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.3289	25-Aug-2025	INF0GCD01099	INF0GCD01081
148667	TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1230.0865	25-Aug-2025	-	INF0GCD01024
148674	TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.459	25-Aug-2025	INF0GCD01057	INF0GCD01040
148668	TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1137.6689	25-Aug-2025	INF0GCD01073	INF0GCD01065
148679	TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104.5427	25-Aug-2025	-	INF0GCD01032
140135	UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.3286	25-Aug-2025	INF789FA1V03	INF789FA1V11
133972	UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.4352	25-Aug-2025	INF789FA1V29	INF789FA1V37
126940	UTI Banking & PSU Fund - Direct Plan - Growth Option	22.5537	25-Aug-2025	INF789F015Z6	-
141375	UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.9661	25-Aug-2025	INF789FA1U87	INF789FA1U95
134026	UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5116	25-Aug-2025	INF789FC1HE1	INF789FC1HF8
126942	UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.7864	25-Aug-2025	INF789F016Z4	INF789F017Z2
140116	UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0798	25-Aug-2025	INF789FA1U46	INF789FA1U53
133971	UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.8658	25-Aug-2025	INF789FA1U61	INF789FA1U79
139407	UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.8035	25-Aug-2025	INF789FA1U20	INF789FA1U38
136110	UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2826	25-Aug-2025	INF789FC1HC5	INF789FC1HD3
126941	UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2125	25-Aug-2025	INF789F012Z3	INF789F013Z1
126939	UTI Banking & PSU Fund- Regular Plan - Growth Option	22.1676	25-Aug-2025	INF789F014Z9	-
119533	Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.432	25-Aug-2025	INF209K01S38	-
103178	Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.474	25-Aug-2025	INF209K01785	-
124832	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7501	25-Aug-2025	INF209KA1KT0	-
119532	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.7974	25-Aug-2025	INF209K01N90	INF209KA1KU8
124833	Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0706	25-Aug-2025	INF209KA1KS2	-
